,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,right,bottom
4,5,1,1,1,1,1,83,7,10,10,96,A,93,17
5,5,1,1,1,1,2,182,7,8,10,96,B,190,17
6,5,1,1,1,1,3,271,7,8,10,88,c,279,17
7,5,1,1,1,1,4,313,2,129,20,51,I,442,22
19,5,1,4,1,1,1,13,87,7,10,90,4,20,97
20,5,1,4,1,1,2,583,82,1,15,3,:,584,97
22,5,1,4,1,2,1,13,107,6,10,87,5,19,117
23,5,1,4,1,2,2,247,105,33,15,79,Age,280,120
24,5,1,4,1,2,3,285,105,46,12,92,Table,331,117
25,5,1,4,1,2,4,583,102,1,15,0,;,584,117
27,5,1,4,1,3,1,13,127,7,10,96,6,20,137
28,5,1,4,1,3,2,236,125,48,12,71,[Name,284,137
29,5,1,4,1,3,3,286,118,18,26,35,_,304,144
30,5,1,4,1,3,4,315,125,33,15,35,|Age,348,140
31,5,1,4,1,3,5,583,122,1,15,48,|,584,137
33,5,1,4,1,4,1,13,147,7,10,96,7,20,157
34,5,1,4,1,4,2,236,141,30,25,75,Paul,266,166
35,5,1,4,1,4,3,407,141,31,25,64,-52|,438,166
36,5,1,4,1,4,4,583,142,1,15,26,|,584,157
38,5,1,4,1,5,1,13,167,7,10,46,),20,177
39,5,1,4,1,5,2,583,162,1,15,3,:,584,177
41,5,1,4,1,6,1,13,187,7,10,56,>,20,197
42,5,1,4,1,6,2,583,182,1,25,24,:,584,207
58,5,1,8,1,1,1,236,165,42,15,90,Ringo,278,180
59,5,1,8,1,1,2,421,165,17,12,96,22,438,177
61,5,1,8,1,2,1,232,175,38,32,72,Brian,270,207
62,5,1,8,1,2,2,421,185,18,12,84,89,439,197
86,5,1,14,1,1,1,0,275,24,32,74,14,24,307
87,5,1,14,1,1,2,393,285,61,12,93,Gender,454,297
88,5,1,14,1,1,3,458,285,46,12,91,Table,504,297
90,5,1,14,1,2,1,0,295,23,32,89,15,23,327
91,5,1,14,1,2,2,316,295,48,32,87,Name,364,327
92,5,1,14,1,2,3,444,305,61,12,71,Gender,505,317
95,5,1,14,2,1,1,0,315,24,32,96,16,24,347
96,5,1,14,2,1,2,316,315,30,32,60,Paul,346,347
97,5,1,14,2,1,3,444,325,34,12,84,Male,478,337
100,5,1,14,3,1,1,0,335,24,32,89,17,24,367
101,5,1,14,3,1,2,316,345,42,15,89,Ringo,358,360
102,5,1,14,3,1,3,444,345,43,12,19,Prefer,487,357
103,5,1,14,3,1,4,493,345,24,12,87,not,517,357
104,5,1,14,3,1,5,522,345,15,12,93,to,537,357
105,5,1,14,3,1,6,543,348,24,12,93,say,567,360
107,5,1,14,3,2,1,0,355,24,32,94,18,24,387
108,5,1,14,3,2,2,312,355,38,32,63,Brian,350,387
109,5,1,14,3,2,3,444,365,34,12,55,Male,478,377
141,5,1,22,1,1,1,9,467,12,10,94,23,21,477
142,5,1,22,1,1,2,92,465,35,12,92,DOB,127,477
143,5,1,22,1,1,3,132,465,46,12,92,Table,178,477
145,5,1,22,1,2,1,9,487,15,10,80,24,24,497
146,5,1,22,1,2,2,39,485,48,12,66,[Name,87,497
147,5,1,22,1,2,3,140,485,47,12,86,D.0.B,187,497
149,5,1,22,1,3,1,0,497,69,29,0,Elipaul,69,526
150,5,1,22,1,3,2,144,505,86,12,77,1955-07-01],230,517
152,5,1,22,1,4,1,29,515,52,32,88,Ringo,81,547
153,5,1,22,1,4,2,144,525,87,12,91,1996-01-09,231,537
155,5,1,22,1,5,1,29,535,44,32,87,Brian,73,567
156,5,1,22,1,5,2,140,545,23,12,68,[7th,163,557
157,5,1,22,1,5,3,170,545,28,15,93,Aug,198,560
158,5,1,22,1,5,4,206,545,18,12,96,28,224,557
